iter	Passed	Remaining
0	105	104918
1	172	85901
2	245	81672
3	287	71513
4	365	72718
5	420	69741
6	549	77958
7	623	77253
8	749	82477
9	799	79179
10	884	79491
11	973	80191
12	1046	79443
13	1133	79828
14	1193	78350
15	1225	75374
16	1256	72654
17	1286	70208
18	1329	68622
19	1365	66924
20	1440	67156
21	1533	68161
22	1637	69578
23	1684	68483
24	1751	68300
25	1835	68777
26	1886	67973
27	1952	67784
28	2011	67356
29	2061	66659
30	2123	66381
31	2212	66939
32	2347	68778
33	2437	69252
34	2479	68363
35	2545	68167
36	2632	68527
37	2665	67479
38	2720	67035
39	2736	65676
40	2782	65091
41	2844	64871
42	2917	64924
43	2999	65160
44	3047	64667
45	3097	64234
46	3151	63903
47	3208	63629
48	3233	62761
49	3265	62052
50	3310	61592
51	3340	60899
52	3373	60285
53	3396	59504
54	3446	59212
55	3478	58630
56	3542	58608
57	3607	58584
58	3675	58621
59	3741	58618
60	3804	58564
61	3876	58646
62	3952	58778
63	4012	58676
64	4066	58493
65	4112	58200
66	4180	58212
67	4279	58651
68	4379	59096
69	4446	59075
70	4487	58710
71	4527	58355
72	4577	58124
73	4634	57995
74	4674	57654
75	4732	57531
76	4784	57348
77	4838	57190
78	4922	57389
79	4987	57361
80	5027	57040
81	5070	56764
82	5118	56553
83	5184	56535
84	5312	57184
85	5437	57785
86	5550	58248
87	5645	58508
88	5726	58619
89	5833	58979
90	5906	59001
91	5952	58753
92	6012	58639
93	6052	58340
94	6105	58160
95	6158	57989
96	6204	57760
97	6250	57532
98	6310	57428
99	6370	57338
100	6463	57532
101	6548	57655
102	6627	57717
103	6705	57770
104	6809	58045
105	6881	58037
106	6989	58335
107	7104	58679
108	7210	58938
109	7317	59208
110	7428	59497
111	7517	59605
112	7611	59748
113	7645	59423
114	7702	59272
115	7752	59078
116	7782	58737
117	7843	58623
118	7879	58337
119	7917	58063
120	7948	57745
121	7987	57482
122	8029	57248
123	8056	56918
124	8090	56636
125	8123	56351
126	8147	56009
127	8209	55925
128	8254	55731
129	8301	55555
130	8338	55313
131	8360	54976
