ID,City_Code,Region_Code,Accomodation_Type,Reco_Insurance_Type,Lower_Age,Is_Spouse,Health Indicator,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response
1,3,3213,1,0,36,0,0,15,3.0,22,9.361171261678766,0
2,5,1117,0,1,22,0,1,15,3.0,22,10.325809777710715,0
3,5,3732,0,0,32,0,0,1,1.0,19,8.915969311373605,1
4,24,4378,0,1,48,0,0,15,3.0,19,9.785829509067895,0
5,8,2190,1,0,44,0,1,3,1.0,16,9.249945626568541,0
6,9,1785,1,0,52,0,1,5,1.0,22,9.633252393688068,1
7,3,679,0,0,28,0,0,1,2.0,17,9.272375762895635,0
8,1,3175,0,1,73,1,3,9,4.0,17,10.286843375056192,1
9,15,3497,0,1,43,0,0,14,3.0,1,10.214026407130836,0
10,1,530,0,1,26,1,0,7,4.0,18,9.957066233437358,1
11,28,600,0,0,21,0,1,1,3.0,21,8.31090675716845,1
12,27,1097,0,1,47,1,2,3,3.0,13,10.128357612576039,0
13,7,3453,0,0,66,0,0,1,2.0,20,9.752199438322346,1
14,5,900,1,0,20,0,1,1,3.0,18,9.031692060548524,0
15,20,1911,1,0,27,0,2,2,3.0,9,9.152711259139547,0
16,3,1484,1,0,20,0,2,1,3.0,2,8.499436469826978,0
17,3,1090,0,0,34,0,0,11,1.0,20,8.803874763534434,0
18,7,677,0,0,43,0,1,15,1.0,19,9.248214024404264,0
19,1,1634,0,0,55,0,1,1,3.0,21,9.439863530254431,0
20,20,973,0,0,27,0,2,3,3.0,4,8.99342737041261,0
21,9,3543,0,0,32,0,1,3,3.0,16,9.397649470281177,0
22,24,1127,1,0,23,0,1,1,1.0,16,9.244935016740682,0
23,25,787,1,0,18,0,5,1,3.0,22,7.947325027016463,0
24,1,2862,1,0,22,0,5,2,1.0,19,8.59711281459211,0
25,4,2182,1,0,22,0,0,1,3.0,22,8.759354748566208,0
26,5,2276,1,0,25,0,0,1,1.0,12,8.871785969150645,0
27,4,3283,1,0,21,0,0,1,1.0,19,8.88599431515281,0
28,9,855,1,0,21,0,4,1,1.0,16,8.227909837597483,1
29,1,520,1,0,24,0,4,1,1.0,19,8.961879012677683,0
30,1,894,0,0,27,0,2,7,1.0,19,9.405084448768694,1
31,2,2137,0,1,34,1,4,3,4.0,17,10.00676590198963,0
32,34,1012,1,0,27,0,5,4,3.0,6,9.257223957875032,0
33,20,1174,1,0,20,0,0,1,3.0,14,8.62155320674048,0
34,20,2087,1,1,21,1,0,2,3.0,22,9.23647584558081,0
35,9,518,1,0,22,0,0,1,3.0,11,8.691146498539675,0
36,10,1410,0,0,56,0,0,15,3.0,18,9.515911477263703,0
37,2,1045,1,1,18,0,5,5,3.0,11,9.97961491292368,0
38,17,420,1,0,35,0,0,1,1.0,2,9.425451751593128,0
39,10,1530,1,0,63,0,0,1,1.0,18,9.90588467713585,0
40,3,927,1,1,47,1,3,3,3.0,18,10.024288252681833,1
41,2,1036,0,0,64,0,0,15,3.0,3,9.89495122151384,0
42,18,3256,0,0,28,0,0,3,1.0,19,8.598588829620232,0
43,15,2843,0,0,56,0,5,2,1.0,22,9.91886865457443,0
44,24,2748,0,0,67,0,0,14,2.0,17,9.90028242158718,1
45,27,811,0,0,75,0,0,15,3.0,20,10.032847757841836,0
46,2,256,0,0,42,0,0,10,3.0,20,9.695725103260221,0
47,3,1475,1,0,21,0,0,1,3.0,18,8.338544879988579,0
48,4,4373,1,0,71,0,0,15,3.0,18,9.660013734748668,0
49,2,2858,0,1,55,1,3,8,4.0,17,10.249202656238518,1
50,1,85,0,1,68,1,1,7,4.0,21,10.363844804730059,0
51,1,947,1,0,31,0,1,9,3.0,18,9.221478116386638,0
52,24,618,1,0,21,0,0,1,1.0,16,9.137339479091693,0
53,16,119,1,0,19,0,2,1,1.0,16,8.87346805533363,0
54,2,3683,0,0,75,0,3,7,4.0,17,10.03214458474439,0
55,1,2499,0,0,32,0,1,3,3.0,19,9.119101891541911,0
56,2,1016,0,0,48,0,1,15,3.0,21,9.627734050949622,1
57,2,1876,0,0,65,0,3,15,3.0,3,9.929155299284705,1
58,2,1108,1,0,26,0,0,2,2.0,14,9.09873819539488,0
59,25,1290,0,1,65,1,0,1,3.0,21,10.10242037513528,0
60,29,1488,0,0,54,0,0,1,3.0,14,9.589872098057842,0
61,17,1842,1,0,27,0,2,1,3.0,12,8.858226439365012,0
62,1,6,0,0,75,0,1,5,3.0,16,9.897972371848018,0
63,33,912,1,0,33,0,1,2,1.0,2,8.694502206386648,0
64,1,2980,0,1,74,1,0,5,3.0,8,10.399158928530442,0
65,25,2200,1,0,20,0,0,1,3.0,21,8.83200393125627,1
66,1,785,0,0,75,0,1,3,3.0,22,9.742379392141371,0
67,26,1901,1,0,30,0,1,8,3.0,18,9.131297164635729,0
68,2,1742,0,0,69,0,3,15,3.0,3,9.686822967319628,1
69,2,4068,0,0,23,0,0,2,3.0,3,9.353227859524731,1
70,25,787,1,1,32,1,3,1,3.0,22,9.41613428495528,0
71,2,1989,1,0,26,0,3,2,3.0,11,9.059052257762401,0
72,3,2476,1,0,27,0,0,1,3.0,21,9.354960061586127,1
73,3,1471,1,0,31,0,0,5,1.0,16,9.298900548955663,0
74,2,2659,0,0,68,0,1,1,4.0,11,9.6457525564523,0
75,2,168,1,1,35,1,1,1,3.0,14,9.725556344043467,0
76,5,3767,1,0,21,0,0,1,3.0,18,9.05157907959124,0
77,8,1883,0,0,34,0,3,6,3.0,1,9.189321004752108,0
78,1,1321,0,0,31,0,0,6,1.0,19,9.213535262872702,1
79,2,4829,0,0,29,0,2,5,1.0,17,9.345570321236286,0
80,19,4632,0,0,62,0,1,15,1.0,1,9.477003077203888,0
81,2,2779,1,0,33,0,0,3,4.0,22,8.824677891164198,0
